Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.22738938177436E-06,2.56447575640306E-07,0.000487551856888666,0,0,0,17.0402871840263,0.118814323679022,3.25903296893552E-06,-1.50660653722835E-05,2.09521688070061,-8.32187434939351E-09,2.06149777825353,0,0,0,0,0,0,package://xingtian/meshes/base_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://xingtian/meshes/base_link.STL,,壳体-1,base_cor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
imu_link,0,0,-0.005,0,0,0,0.00899999999999999,7.49999999999999E-07,-1.26133558763496E-22,-3.89334058238209E-23,7.49999999999998E-07,1.61565069752578E-22,1.35E-06,0,0,0,0,0,0,package://xingtian/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://xingtian/meshes/imu_link.STL,,imu-1,imu_cor,,imu_joint,fixed,0,0,0.03503,0,0,0,base_link,0,0,0,,,,,,,,,,,,
zht_yao,-0.00155798553474173,0.0585099095625487,0.00176555995432454,0,0,0,2.36315777456969,0.00428106185444364,7.54397107095905E-05,0.000207109924987776,0.00741886843255565,-8.54907373814407E-05,0.0042291886986985,0,0,0,0,0,0,package://xingtian/meshes/zht_yao.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/zht_yao.STL,,腿部电机-4,zht_cor4,zhtz4,zht_joint4,revolute,-0.33864,0.0825,-0.00088293,0,0,0,base_link,0,1,0,2000,3,-3.14,3.14,,,,,,,,
zht_qubing,-0.00988995989426467,-0.0152193403004889,-0.0345943188524857,0,0,0,0.343011891033856,0.000830323173556384,2.44907012177887E-05,-0.000124820230181236,0.000866212607188022,8.56665887322376E-05,0.000143538437895095,0,0,0,0,0,0,package://xingtian/meshes/zht_qubing.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/zht_qubing.STL,,曲柄左-4,zht_cor3,zhtz3,zht_joint3,revolute,0,0.105,0,0,0,0,zht_yao,0,1,0,2000,3,-3.14,3.14,,,,,,,,
zht_dianjizhou,-2.34415518107767E-08,0.0333373294420808,-0.101527239832947,0,0,0,0.0711999407007276,0.00020825730700581,9.53214340733863E-12,-4.06153700530492E-11,0.000184277559062658,4.1284477699213E-05,3.23488817902417E-05,0,0,0,0,0,0,package://xingtian/meshes/zht_dianjizhou.STL,1,1,1,1,0,0,0,0,0,0,package://xingtian/meshes/zht_dianjizhou.STL,,底部腿左-4,zht_cor2,zhtz2,zht_joint2,revolute,0,-0.016,-0.14,0,0,0,zht_qubing,0,1,0,2000,3,-3.14,3.14,,,,,,,,
zht_wheel,2.22044604925031E-16,0.026,-2.22044604925031E-16,0,0,0,3.44065716846127,0.00775153539775021,-7.10509709115134E-18,-4.99165251947134E-19,0.0139962639740088,3.57439658150252E-18,0.00775153539775021,0,0,0,0,0,0,package://xingtian/meshes/zht_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/zht_wheel.STL,,底部轮子-4,zht_cor1,zhtz1,zht_joint1,continuous,0,0.029,-0.14,0,0,0,zht_dianjizhou,0,-1,0,,,,,,,,,,,,
yht_yao,-0.00193962758499755,-0.0585099095625487,0.00133505269944491,0,0,0,2.36315777456969,0.00418062717932366,-9.39193212219552E-05,0.000194980154391921,0.00741886843255565,6.46450093292299E-05,0.00432962337381848,0,0,0,0,0,0,package://xingtian/meshes/yht_yao.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/yht_yao.STL,,腿部电机-5,yht_cor4,yhtz4,yht_joint4,revolute,-0.33864,-0.0825,-0.00088293,0,0,0,base_link,0,-1,0,2000,3,-3.14,3.14,,,,,,,,
yht_qubing,-0.00989009817254993,0.0152193403004836,-0.0345942520471315,0,0,0,0.343011891033856,0.000830322140930856,-2.44910555691922E-05,-0.000124823070996035,0.000866212607188024,-8.56664874280724E-05,0.000143539470520626,0,0,0,0,0,0,package://xingtian/meshes/yht_qubing.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/yht_qubing.STL,,曲柄右-5,yht_cor3,yhtz3,yht_joint3,revolute,0,-0.105,0,0,0,0,yht_yao,0,1,0,2000,3,-3.14,3.14,,,,,,,,
yht_dianjizhou,-4.43399224336893E-07,-0.0333373294420808,-0.101527239831984,0,0,0,0.0711999407007276,0.000208257307002464,-1.80301418756843E-10,-7.68243669212761E-10,0.000184277559062658,-4.12844776988203E-05,3.23488817935874E-05,0,0,0,0,0,0,package://xingtian/meshes/yht_dianjizhou.STL,1,1,1,1,0,0,0,0,0,0,package://xingtian/meshes/yht_dianjizhou.STL,,底部腿右-5,yht_cor2,yhtz2,yht_joint2,revolute,0,0.016,-0.14,0,0,0,yht_qubing,0,1,0,2000,3,-3.14,3.14,,,,,,,,
yht_wheel,0,-0.026,0,0,0,0,3.44065716846127,0.00775153539775022,6.89009047181592E-18,4.3038795451695E-19,0.0139962639740088,-1.77601595825533E-18,0.00775153539775022,0,0,0,0,0,0,package://xingtian/meshes/yht_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/yht_wheel.STL,,底部轮子-5,yht_cor1,yhtz1,yht_joint1,continuous,0,-0.029,-0.139999999998665,0,0,0,yht_dianjizhou,0,1,0,,,,,,,,,,,,
zqt_yao,0.00121101352565594,0.0585099095625488,-0.00201939771205601,0,0,0,2.36315777456969,0.00435340313839109,-5.86388692344531E-05,0.000184143120904003,0.00741886843255565,9.77818957930039E-05,0.00415684741475104,0,0,0,0,0,0,package://xingtian/meshes/zqt_yao.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/zqt_yao.STL,,腿部电机-1,zqt_cor4,zqtz4,zqt_joint4,revolute,0.33864,0.0825,-0.00088293,0,0,0,base_link,0,1,0,2000,3,-3.14,3.14,,,,,,,,
zqt_qubing,0.00989010299028142,-0.015219340300489,-0.0345942779430486,0,0,0,0.343011891033856,0.000830322140930856,-2.44910555691921E-05,0.000124823070996034,0.000866212607188031,8.56664874280722E-05,0.000143539470520632,0,0,0,0,0,0,package://xingtian/meshes/zqt_qubing.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/zqt_qubing.STL,,曲柄右-4,zqt_cor3,zqtz3,zqt_joint3,revolute,0,0.105,0,0,0,0,zqt_yao,0,1,0,2000,3,-3.14,3.14,,,,,,,,
zqt_dianjizhou,4.43399223913621E-07,0.0333373294420808,-0.101527239831984,0,0,0,0.0711999407007277,0.000208257307002464,-1.80301418699056E-10,7.68243669093778E-10,0.000184277559062658,4.12844776988204E-05,3.23488817935875E-05,0,0,0,0,0,0,package://xingtian/meshes/zqt_dianjizhou.STL,1,1,1,1,0,0,0,0,0,0,package://xingtian/meshes/zqt_dianjizhou.STL,,底部腿左-1,zqt_cor2,zqtz2,zqt_joint2,revolute,0,-0.016,-0.14,0,0,0,zqt_qubing,0,1,0,2000,3,-3.14,3.14,,,,,,,,
zqt_wheel,3.46944695195361E-18,0.026,0,0,0,0,3.44065716846127,0.00775153539775022,4.55788597384679E-19,-5.11436726142904E-20,0.0139962639740088,5.56894196526745E-19,0.00775153539775022,0,0,0,0,0,0,package://xingtian/meshes/zqt_wheel.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/zqt_wheel.STL,,底部轮子-1,zqt_cor1,zqtz1,zqt_joint1,continuous,0,0.029,-0.14,0,0,0,zqt_dianjizhou,0,-1,0,,,,,,,,,,,,
yqt_yao,-0.00168009360208256,-0.0585099095625488,-0.00164978979479796,0,0,0,2.36315777456969,0.00425129166424017,-8.13523440878163E-05,-0.000208692430424964,0.00741886843255565,-7.98849938435662E-05,0.00425895888890197,0,0,0,0,0,0,package://xingtian/meshes/yqt_yao.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://xingtian/meshes/yqt_yao.STL,,腿部电机-3,yqt_cor4,yqtz4,yqt_joint4,revolute,0.33864,-0.0825,-0.00088293,0,0,0,base_link,0,-1,0,2000,3,-3.14,3.14,,,,,,,,
